"","title","text","star","page","doc_id"
"11","Head phones","Easy to wear easy to use and good qualitysound. Stays at a safe level for your ears. Really important for me as a mum. They get all the music that they need without making themselves deaf. Money well spent 😉","4.0 out of 5 stars",2,11
"12","LOVE these","I’m used to having and wearing ear pods in the gym, now after those breaking and purchasing these I will never go back. So much more secure amazing sound and look great! I love the colour too I could rave about these all day! I use them for running outside and gym and they are perfect","5.0 out of 5 stars",2,12
"13","Great headphones","I wear them everyday for the gym and walking around, comfortable fitting and easy, they don’t fold in so you can’t make them anymore compact, also can hurt your ears if wearing for long periods of time but I’ve gotten used to that now and it doesn’t hurt much anymore.","5.0 out of 5 stars",2,13
"14","Highly recommend","Honestly the best headphones I have had for a reasonable price. I prefer these to my Apple AirPods! Able to download an app and can change settings so if you prefer certain settings these are an absolutely winner, easily the best money I have ever spentReally comfortable to wear and perfect for when working out!","5.0 out of 5 stars",2,14
"15","Excellent sound quality","Got these for my husband as a gift and he abaolutely loves them. The sound is excellent and the fit around the head perfectly","4.0 out of 5 stars",2,15
"16","Just what I wanted","Very comfortable fit, smart and very well made. The battery life seems very good although I've never been close to running out as I recharge after several hours automatically.I would definitely recommend these.","5.0 out of 5 stars",2,16
"17","Great buy","Great sound, great battery life, good receiver distance, definitely buy them again","5.0 out of 5 stars",2,17
"18","Bargain!","Good quality Sony headphones for a really cheap price. Used mainly for listening to podcasts and audio books but definitely good enough for music too","5.0 out of 5 stars",2,18
"19","Excellent quality headphones","These headphones are a replacement for my old ones and I hadn't realised how poor the old ones were until I used these. The comfort of wearing the Sony headphones and the sound quality if excellent but they don't really cancel out other noise if you wear them without listening, but when I'm listening to music or a pod case then surrounding noise is not an issue. Oh and I love the pale blue colour!","5.0 out of 5 stars",2,19
"20","Sony Wireless Headphones","Great battery life and good sound good for doing workouts better than AirPods","5.0 out of 5 stars",2,20
"21","my second one and love it.","This is my second one of the same model and it works really well. I love Sony products and I listen to music a lot. Sound quality is excellent and also the noise cancellation. For me there will be only one improvement that I could make; to change the radius over the ears as the round shape does not match human ear shape and sometimes after using them long time I feel the need to massage my ears to release any pressure points. Round design is cooler but not as practical. A very good product.","5.0 out of 5 stars",3,21
"22","Best headphones for the price point","These headphones from Sony are fantastic. The sound is top quality, the app allows the user to change the equaliser and scan their ear in for best sound. The connection is easy via Bluetooth. 3 buttons are located on the R hand side of the headphones. The battery life is amazing at 50 hours, and they charge very quick via USB C.Fantastic product overall.","5.0 out of 5 stars",3,22
"23","Nice set of headphones","Straight to the point.Great sound especially for what you pay.Super conformable.Only problem I have is when connecting to multiple devices I have to unpaired them from one to use on another.","4.0 out of 5 stars",3,23
"24","The battery life","i haven’t charged them for 3 days and they are still under 70% and i have been using them for about 7+ hours a day 10000/10","5.0 out of 5 stars",3,24
"25","Great product","Really good product. Price was good for quality. I recommend","5.0 out of 5 stars",3,25
"26","Great sound","My old ones broke so read a lot of reviews and decided on theese,they are just what I wanted and were delivered promptly","5.0 out of 5 stars",3,26
"27","Fine but fiddly to connect","I find the on switch too small","4.0 out of 5 stars",3,27
